NRIC,page_id,time_spent
S7914337H,7,12
S9408974V,2,8
S5118692X,3,7
S6892566E,7,10
S7452007M,2,8
S8198010M,6,13
S6797132I,4,18
S4972569Y,0,18
S9497962S,7,1
S7919619J,1,17
S4246961L,2,14
S6271015A,8,19
S9693179V,5,9
S4533112R,3,12
S8683565P,6,7
S6513433J,7,18
S8164355X,5,7
S5320187V,5,9
S9632503I,8,20
S7255562Y,3,15
S4283618S,2,9
S5053389M,5,1
S9618217K,4,14
S7403024R,6,8
S6921951A,4,9
S6483958T,5,3
S9896423W,1,18
S6767292C,0,20
S7006646U,4,16
S6861290E,2,6
S5865830E,0,17
S5983699P,8,13
S4013287N,0,12
S9497962S,4,20
S6138343T,0,15
S4288757V,1,3
S6661275E,7,7
S6003920F,5,14
S6920194H,8,15
S7101913Q,3,1
S9093145Y,6,7
S4256928U,4,12
S9647667M,2,2
S8207782B,7,12
S5581260M,7,16
S6846525N,4,20
S9298766N,3,16
S8672527Z,5,8
S4940117X,7,8
S9601790C,4,12
S4023008R,8,4
S4840223R,0,20
S4876036A,3,10
S8436049N,7,16
S9146031V,5,9
S6520961I,2,13
S5403040D,1,16
S7089524R,8,8
S8204227L,0,16
S6410890X,5,15
S7033363A,6,5
S5183397I,0,15
S7149785J,3,11
S7855374V,0,18
S7470613P,5,16
S8084199F,7,4
S6808413Y,5,15
S6461431J,0,17
S6351173B,4,2
S8100143C,4,14
S5367557W,2,18
S8872039A,3,18
S9518850Q,4,8
S8335692R,2,5
S6341164C,6,10
S7010332J,2,13
S7070085Q,4,19
S7403118B,6,13
S8316450R,6,3
S6517323A,4,20
S8639934L,7,11
S6462201N,8,18
S9522280J,8,16
S6677997I,6,1
S6402947P,1,13
S7013433E,2,18
S6864543Q,7,17
S4875993C,0,3
S7933371U,5,17
S6937316T,5,20
S9469491N,4,1
S9005551K,4,2
S7151146X,3,16
S9451919V,8,18
S6716173V,0,20
S9643514J,4,9
S7125416O,3,13
S7908951W,6,16
S8344724Y,0,16
S6505581J,6,9
S5010319Q,3,14
S8341439K,6,15
S4646501U,0,3
S6834801I,7,19
S9880508R,2,18
S8769935A,5,8
S4697052Z,3,9
S5748503I,5,11
S4540453V,8,18
S7369513R,2,7
S5051055G,4,20
S8696329C,1,8
S5743464V,6,4
S5054059Q,6,15
S7296053W,7,10
S7717783R,3,20
S7238345E,2,18
S8521291F,3,15
S6427100I,4,13
S6754362G,2,3
S4377073Y,7,16
S8534226H,6,10
S8251387Y,4,10
S6617379R,4,7
