User,Item 1,Item 2,Item 3,Item 4,Item 5
S6759675G,0,4,5,8,3
S7372625N,1,6,4,0,3
S5071839X,7,6,8,0,2
S4860751B,0,1,2,5,8
S7327857Z,6,5,0,3,2
S7718516S,1,3,5,4,0
S4734773L,4,0,8,6,5
S6458881O,4,3,8,6,7
S6639318O,4,5,0,2,8
S5045193X,7,8,6,3,1
S6093380R,4,0,8,6,3
S4602991J,5,8,2,3,1
S5758739A,4,8,3,0,1
S4271873C,8,5,4,3,2
S9058354O,8,4,5,0,1
S7214996P,6,1,0,4,7
S4377446H,2,4,0,8,6
S5397107X,1,4,7,6,3
S7659716Z,0,8,4,3,5
S6913262I,0,5,8,6,3
S9722681Q,2,1,3,5,0
S8564025F,0,4,8,5,7
S9436694Z,1,4,3,0,8
S4191598K,0,3,7,5,2
S6948006Y,5,0,4,3,6
S6744708J,0,4,5,8,3
S6860944Q,1,7,5,0,4
S6773577G,0,6,4,7,8
S7812561Q,0,5,2,8,1
S8861716P,5,1,3,6,7
S5754572E,4,6,8,0,7
S6585164P,5,6,0,3,1
S6899001Y,7,0,1,5,6
S5055067U,8,0,3,4,5
S7149337B,5,0,2,3,8
S6442643B,0,6,1,2,8
S7402191X,0,8,5,3,2
S7333569R,2,0,6,1,5
S4509524S,8,4,2,1,6
S7155340Y,5,8,0,3,1
S6409685S,7,4,3,1,0
S9463185J,2,0,1,8,5
S5478212R,0,1,3,4,6
S9518099G,0,4,3,2,6
S7343140E,0,2,6,8,1
S4950676A,4,8,0,6,5
S4071343C,5,0,6,4,1
S9137972R,3,1,5,4,0
S9183747V,0,3,4,8,2
S9780872T,5,0,1,8,6
S6808116P,4,0,6,8,7
S8129567E,4,3,8,0,5
S9853972V,1,3,0,2,6
S9290272B,6,4,0,5,3
S6574552P,3,5,6,4,1
S6719520X,0,5,8,1,4
S7621519G,0,5,7,8,1
S4154619Y,0,2,5,1,8
S4383209W,3,4,1,0,6
S6797586P,0,7,1,5,6
S6541281R,0,3,6,5,1
S8031384A,5,8,4,2,0
S6545786Z,3,5,0,4,7
S8313841G,4,0,5,8,1
S6588639W,1,3,7,6,8
S9604747C,0,4,6,5,8
S9415082G,2,0,1,8,5
S7355539A,0,2,6,1,8
S9525795U,0,3,2,5,1
S6618836C,4,0,8,5,6
S6886604V,4,6,7,5,0
S4346953Y,4,8,6,0,5
S8931688U,6,5,3,7,0
S6885088B,4,0,5,6,1
S9226738A,0,4,5,8,1
S5015663W,8,0,2,5,7
S7214276U,0,5,8,6,2
S6974391K,0,1,2,5,6
S4182731A,0,8,7,2,4
S6566777D,2,0,3,5,4
S5198818I,0,4,8,6,5
S5648286C,0,7,4,2,8
S9285280U,0,4,8,1,6
S7966164Q,0,4,8,1,5
S5042933T,6,0,7,8,2
S7181144S,4,8,1,0,6
S5024220A,0,8,6,5,7
S5560572K,4,8,3,0,5
S7923729M,8,0,4,3,5
S6913814N,3,0,5,2,1
S5367557W,0,1,2,3,4
S5487272A,1,8,2,4,0
S4213736X,1,7,0,5,2
S6996326V,5,0,4,8,1
S4839469K,3,8,4,0,5
S7293162T,6,0,4,8,5
S5037419E,0,6,8,4,1
S8341808L,5,8,1,4,0
S7720022M,4,0,3,8,1
S6842699J,0,7,1,5,3
S7335950V,6,4,0,7,3
S6314032D,0,6,4,5,7
S6113222C,0,1,3,5,4
S7107605B,8,4,7,6,0
S6689050I,0,1,2,3,5
S6774570X,0,5,6,8,1
S6679889B,2,0,4,5,7
S5269732D,6,0,8,4,2
S4298422W,8,5,2,7,4
S7495282L,5,0,8,6,4
S5865830E,0,8,1,6,5
S9470039V,3,1,2,5,0
S7254042V,8,0,4,3,5
S6859353G,0,5,1,6,2
S5817261R,6,7,1,3,8
S6450060L,0,5,8,7,4
S6708572R,0,5,4,8,2
S6322710Z,0,5,8,4,2
S7018141C,0,3,4,5,7
S7209393U,6,0,8,3,1
S8983760A,8,0,5,6,7
S8950686N,7,6,0,4,8
S6645749Y,4,5,0,1,3
S7625407K,7,0,4,6,5
S5672802J,2,4,7,6,0
S4102962R,0,7,1,3,2
S6882688I,0,4,7,6,1
S9760714D,2,6,4,0,8
S8734891G,0,4,3,6,8
S6264530S,3,0,4,5,2
S4049608O,0,5,3,4,2
S6524500B,5,4,0,6,7
S9437956B,0,8,4,3,1
S8464454R,7,8,0,6,2
S6825718C,4,0,7,5,8
S6629823J,7,1,4,0,3
S4260311Q,4,8,6,2,7
S9660735S,4,3,0,8,6
S5112438Y,5,8,0,1,2
S4976670O,0,2,4,3,5
S9708450Y,0,5,2,4,3
S8455640P,1,8,0,2,3
S9444292L,4,5,3,0,8
S6661275E,2,0,1,5,6
S5594589U,0,4,3,8,5
S6763632P,0,5,3,8,6
S6288474L,3,1,7,0,2
S7751424B,0,7,1,3,5
S6511202M,3,7,2,5,1
S9894854P,0,1,7,6,5
S6559187S,3,7,5,6,1
S8125604K,6,4,1,7,3
S7837829J,0,2,5,3,4
S6557891Z,3,5,6,1,8
S5683014E,4,8,0,3,5
S6927500G,0,6,4,8,2
S5731665A,1,2,6,4,5
S8579668F,8,6,4,7,3
S6892972R,4,7,0,6,5
S6589723V,6,4,2,7,3
S9444148M,8,6,2,4,0
S6200759I,3,7,1,0,6
S7958091D,0,6,2,1,5
S8881061V,3,1,8,6,5
S4794563H,4,8,3,0,6
S8549702X,0,2,6,1,5
S4451628A,0,4,8,6,5
S4916611L,0,4,2,8,3
S7395947T,0,5,4,6,2
S8741478B,4,0,8,3,7
S9343524F,4,0,8,3,7
S7255233S,0,5,6,8,4
S8254528A,8,6,7,0,2
S7644286Y,0,5,7,4,6
S7499031I,0,8,4,5,2
S7951856N,0,5,6,8,4
S6621023N,3,0,4,8,5
S7040198V,5,3,0,6,1
S7128935M,7,3,0,5,8
S5576717C,8,4,3,5,0
S6471195B,4,5,8,7,3
S6353738C,1,0,6,2,8
S4847856V,8,0,3,5,1
S7912060U,0,4,8,3,6
S6852141D,5,4,1,8,2
S5083840D,3,0,8,6,7
S6485313Y,4,0,8,3,6
S6520961I,6,1,3,0,2
S7405109Z,0,5,4,8,3
S4570468P,8,5,0,1,4
S8739431T,0,4,8,6,7
S4226181D,5,8,2,0,4
S7727025H,4,3,1,0,6
S5109393T,0,4,6,8,7
S6184357N,6,0,3,4,8
S6408313U,4,6,7,0,8
S9786043N,2,1,8,5,4
S6617379R,0,2,5,7,4
S6940785Z,0,4,5,7,2
S7855374V,0,3,1,4,5
S8582243W,4,8,7,6,2
S8174098J,2,0,5,6,1
S5418061Y,0,4,2,7,1
S8589891Y,0,3,2,4,8
S6025373D,4,8,0,5,6
S8537479T,8,0,7,4,2
S4883737U,6,0,4,8,2
S4118304T,0,5,3,7,8
S8258498O,0,5,4,8,3
S9572153O,4,5,3,8,0
S8810730N,8,5,3,4,6
S5007241F,7,1,0,6,3
S6741161G,7,0,1,6,3
S4283618S,1,7,0,5,4
S4079783I,7,4,6,0,5
S4327058U,3,8,4,0,5
S9415850U,1,8,0,3,6
S6569099Q,5,3,0,6,4
S7622526X,7,5,1,0,6
S9482406F,1,3,7,8,6
S9179618C,0,3,4,7,5
S9020851Q,8,4,0,1,6
S9747274A,0,2,5,4,1
S4523483J,8,6,2,4,0
S8032996O,4,5,8,3,0
S6661035E,2,0,4,7,5
S4739694K,0,4,3,8,5
S6651031Z,2,0,7,5,6
S6850463J,4,0,5,7,8
S5266215D,8,5,0,2,1
S8053141V,8,3,4,5,0
S4416611U,0,5,4,3,2
S7204461Y,0,1,6,8,4
S5185748W,0,8,1,6,3
S4216233T,4,7,1,2,0
S9200954H,4,3,0,8,6
S6149131A,8,6,0,7,4
S6115453Z,0,4,6,1,3
S4055294V,3,4,0,8,5
S6155935B,5,0,8,6,7
S6911666O,0,5,4,6,8
S4485185X,5,0,4,3,6
S5186039A,0,5,7,2,4
S6908659G,0,4,5,8,2
S8030536V,0,8,5,2,4
S9548168Z,3,5,0,4,1
S4706132J,4,0,3,8,5
S4262937E,4,8,0,5,6
S6464409W,3,7,0,1,2
S4765448U,0,1,8,2,6
S6116013I,6,0,7,4,2
S7328719K,4,0,3,8,2
S6669758V,5,3,0,4,1
S9254969Q,4,0,3,8,5
S9401973U,8,0,3,4,5
S6216457M,4,2,5,3,8
S8738251X,4,3,7,0,6
S6502657E,0,5,3,4,2
S6275473K,5,1,8,3,2
S5076754J,8,3,0,4,5
S9070374E,8,4,0,3,6
S9812651N,6,0,2,8,7
S9214711K,8,1,4,5,3
S9844101F,0,2,3,6,4
S4649399Z,8,3,5,4,0
S6920194H,0,5,8,4,6
S8523965W,8,4,0,6,7
S7757210G,1,7,3,6,5
S6485166R,0,5,8,7,4
S6185794L,5,3,0,1,6
S7118576O,2,1,0,8,6
S6498174S,0,3,4,7,2
S9080094T,0,4,8,1,7
S8728397O,0,4,8,7,3
S6927373K,0,3,2,1,4
S6793475E,0,8,6,4,7
S9037241Y,0,4,3,8,5
S4342176D,1,8,2,3,4
S6792247L,0,3,1,7,4
S6553093E,4,6,8,5,0
S6817315B,0,5,4,1,7
S6843631Y,6,5,3,0,4
S4114853X,5,0,2,1,8
S8650080J,3,5,0,8,1
S8969435A,8,3,4,0,1
S5908981I,4,8,0,6,5
S8198010M,4,0,2,6,8
S5629303W,8,4,0,2,7
S4644859P,5,4,8,3,0
S9412887A,0,4,8,2,5
S5017025T,8,0,7,2,5
S9154810F,4,0,5,8,1
S9865437Z,0,6,1,7,4
S6431499X,4,0,7,5,8
S9605609Q,0,8,6,4,3
S6600031T,7,3,5,0,1
S8716426O,4,0,8,3,7
S5743464V,4,8,3,0,5
S6768382T,5,0,8,1,2
S6653336D,6,4,0,2,7
S8429615T,8,0,3,2,1
S8677688F,0,8,5,7,3
S9227090S,3,5,0,4,1
S5835858I,8,1,0,5,4
S6916080C,0,4,5,6,2
S6676748R,5,2,1,0,3
S8687362C,0,2,3,5,8
S5823543O,8,1,2,5,3
S5748503I,0,2,3,5,7
S4850502A,4,8,3,0,5
S7089524R,3,6,1,0,5
S6751727H,0,5,8,7,4
S6547405W,5,3,6,0,1
S6893421I,0,7,1,5,6
S8894028M,1,5,3,6,8
S5372297F,1,6,0,4,7
S8029995L,5,3,2,8,1
S6667023R,0,4,7,5,6
S6487250V,5,6,8,0,3
S7924039X,0,4,8,5,6
S8569110A,7,1,0,6,4
S8846937G,8,4,1,6,0
S8547062D,0,3,7,8,2
S7479386Q,0,8,4,3,2
S8955049O,7,1,6,4,0
S6574919G,3,5,6,4,1
S4039165K,5,7,0,8,4
S8155090B,8,2,5,1,4
S4450355B,4,0,8,3,6
S5144491Y,1,0,7,4,5
S5093030D,0,6,3,2,8
S4582869G,0,5,8,3,4
S4052482E,5,3,0,4,1
S4079054K,0,5,3,4,6
S5625876W,4,1,7,0,2
S5374272P,0,2,3,5,4
S7087544C,0,4,3,5,8
S6788743A,1,0,7,5,6
S6892411I,0,4,7,3,8
S6694697U,7,3,2,5,1
S7346424X,4,1,7,0,6
S9499552G,3,5,8,1,4
S8015955U,5,7,1,6,3
S6990381U,0,1,5,7,6
S8881552P,5,1,3,6,8
S6820080U,0,4,5,7,8
S5734035P,6,4,8,0,3
S6897222X,0,5,4,8,7
S7320891V,0,4,6,8,7
S6486772U,3,2,7,5,0
S6550566W,5,8,4,0,6
S8670171H,0,2,8,3,4
S5202960U,8,0,4,3,6
S6792195X,0,8,3,5,4
S6487672H,4,0,8,3,6
S7033829A,8,1,6,4,2
S9769738T,5,1,0,4,3
S6414215E,5,8,0,3,1
S8540019Y,3,6,5,4,0
S9706775U,0,2,5,4,8
S5976664P,0,4,8,7,6
S8164355X,2,6,4,7,8
S7642046J,0,7,5,4,3
S6852423M,4,0,5,7,1
S8458584Q,8,2,3,0,4
S5115740W,1,7,0,6,5
S8219779T,5,2,1,8,6
S7430025Y,8,0,5,6,3
S6864543Q,0,4,7,5,8
