User,Item 1,Item 2,Item 3,Item 4,Item 5
S4421479I,5,0,4,6,3
S6478988U,8,3,4,7,5
S6682632H,1,5,0,4,2
S6478774H,4,0,6,7,1
S9454276I,2,3,8,1,6
S7891664O,5,0,3,2,7
S6808116P,8,4,0,1,6
S5114259R,7,1,3,0,2
S7155340Y,8,2,7,4,3
S4693032M,5,3,8,4,6
S7736223J,7,3,0,6,8
S8802592H,1,7,5,2,0
S7326149Z,6,3,0,7,1
S4971601N,0,2,1,8,5
S5443015S,5,7,1,6,3
S7604055K,8,7,6,0,4
S9698784T,4,2,6,8,3
S5652957U,5,0,6,1,2
S7617804L,7,6,0,4,3
S9555354Q,7,3,4,1,2
S7149708N,7,6,4,1,8
S4846830K,0,8,5,3,1
S5637878M,5,2,8,7,1
S6815274S,8,4,1,0,5
S4909784M,8,0,2,1,5
S8140460T,2,1,8,3,6
S4162088M,4,2,7,5,1
S9549855D,1,4,0,6,3
S6435715Y,8,0,7,4,6
S6722970C,8,5,0,3,2
S6625593G,0,1,5,6,4
S5470700U,7,4,0,1,8
S7409236O,7,5,1,0,2
S6741161G,7,0,3,6,8
S4633691O,5,3,8,2,1
S9329475J,7,1,3,4,8
S6694312D,0,6,8,5,2
S4246961L,4,5,2,8,1
S9708238C,2,0,3,1,5
S6708734Q,6,8,3,7,2
S5418753F,1,5,4,8,7
S4472885X,0,5,4,6,3
S9896423W,1,6,7,0,2
S7373944I,7,0,3,4,8
S8429492V,1,8,3,0,7
S9793899X,1,5,2,0,7
S4905128K,2,1,8,5,4
S5010319Q,6,2,0,3,7
S7241477H,6,8,0,1,4
S7400708L,8,0,7,4,3
S6003920F,6,4,5,7,0
S5602627G,2,4,3,7,8
S4935929I,8,4,6,2,7
S9098100M,5,7,1,6,2
S6459227F,7,3,6,8,0
S5383262Y,0,2,6,7,8
S8377269T,4,1,8,5,6
S7344784N,3,2,8,0,6
S7341003F,0,6,1,2,4
S7301579W,0,4,6,2,1
S9503259S,3,4,0,2,6
S6790357D,0,8,2,3,4
S9546896P,1,7,3,2,0
S8299105Y,0,6,1,4,5
S6723680C,2,8,3,4,6
S4104200C,1,7,3,0,5
S7715107Y,6,5,0,3,1
S5236156B,5,1,0,7,8
S6984991P,8,0,5,1,4
S6610885R,0,5,1,2,8
S7669279X,8,3,2,7,4
S5115740W,7,1,3,0,2
S8146790U,6,2,5,0,7
S5005629Y,0,2,8,6,3
S7463758C,8,3,0,4,1
S8177955O,0,2,5,1,4
S9491175T,8,4,6,3,2
S6942746C,8,0,4,5,1
S5231535U,0,5,7,1,4
S9621107N,2,6,4,1,8
S9693179V,2,8,6,4,0
S5329653X,6,7,0,2,1
S6459614H,5,0,4,8,1
S5868818N,7,8,6,0,1
S4476660U,2,0,3,4,6
S7193909I,3,7,8,2,1
S5606013L,7,2,6,1,5
S7240064E,6,7,1,2,0
S8096752Y,5,0,7,1,6
S6628400H,7,2,0,8,1
S9294943K,0,7,4,2,5
S6527001Y,0,5,4,6,3
S5482608I,1,8,5,7,3
S6185794L,5,6,0,1,3
S5158484M,0,2,3,8,4
S8316722Q,8,4,5,1,0
S7334191X,0,1,2,5,4
S6833032F,0,8,4,5,2
S6586477Q,6,2,7,1,0
S5196206L,1,0,6,4,2
S9810804H,1,6,7,0,5
S6723736R,6,0,1,7,2
S6769741T,0,6,5,3,8
S6114452T,1,5,7,6,0
S8715322G,4,1,0,8,3
S6817784Q,1,8,0,5,3
S7357076X,5,8,3,4,6
S5364738G,0,6,5,7,1
S6959498S,5,0,1,8,2
S4124613O,5,7,1,2,0
S7326083J,0,5,3,1,4
S7086460Y,0,1,4,6,7
S6737907E,0,2,8,6,3
S8961778X,0,5,1,6,8
S6852423M,2,4,1,5,7
S5569935Y,8,0,5,3,1
S7666841Y,6,8,0,5,2
S5251366S,5,1,7,0,2
S6082148H,4,5,6,2,1
S7866051R,0,5,7,1,4
S7363924T,3,0,4,6,8
S6275473K,7,2,4,8,1
S9509646Q,0,2,8,6,3
S4467294K,2,0,3,1,4
S7642046J,0,4,8,2,3
S6425299S,4,0,3,7,8
S7315149Q,3,7,0,2,8
S9628810W,6,8,2,0,3
S7004976C,1,6,4,5,7
S9183747V,3,0,1,2,8
S6545793N,2,8,5,3,1
S7717564D,2,8,3,7,4
S9253288S,4,0,2,1,8
S6491401M,7,0,6,1,4
S9292484I,7,8,3,2,4
S8799954B,4,1,8,0,3
S7348501E,0,6,7,3,1
S7212852Z,0,6,8,2,4
S9200954H,8,3,1,6,4
S5891386D,5,7,1,0,2
S5337643W,2,6,7,0,1
S6304248V,2,7,1,0,6
S9839972I,1,0,6,2,8
S7209393U,6,1,3,0,8
S8021569G,8,0,6,2,5
S9895589N,0,6,1,2,8
S6622648Q,5,0,1,4,6
S4645148R,6,8,3,7,4
S5214315H,0,5,1,4,2
S5006814B,4,2,7,5,6
S8496518A,1,0,8,7,3
S5617303X,0,6,5,7,2
S5924646B,5,1,0,7,8
S8954787X,5,8,1,0,4
S6995619S,0,1,7,8,3
S6212303N,2,6,7,4,3
S5292361X,5,0,1,4,2
S8564025F,0,8,5,6,7
S6491339N,0,8,4,2,6
S6149131A,6,7,0,8,1
S7486275V,7,5,0,2,8
S7250781W,6,1,0,8,4
S6770769Y,5,7,6,8,0
S9845051I,1,0,6,5,4
S4015806T,3,4,1,0,2
S5185254J,0,4,2,3,6
S9241578E,7,6,4,1,3
S5865830E,0,6,1,8,7
S5781171Q,3,4,8,1,7
S7658623F,7,0,5,2,8
S7135951G,5,8,7,4,1
S7097356Y,4,0,1,6,7
S6620017G,0,1,5,2,6
S5893291Z,7,0,1,8,6
S6738028J,6,0,8,3,7
S7400055P,0,8,7,4,3
S6073465A,0,4,6,3,5
S4355497H,3,4,1,2,8
S9396246W,7,2,6,1,0
S4024045A,0,3,8,4,5
S5642279O,0,2,7,6,1
S5890142Z,7,0,6,1,5
S4166800Q,0,5,1,3,4
S6593244L,5,1,2,6,0
S9814875F,0,6,1,5,8
S9583694K,0,1,2,3,8
S8755509G,4,1,8,3,0
S9508001R,4,3,1,2,0
S5543849I,5,7,1,2,8
S7721522F,4,8,3,5,0
S4605156D,5,6,1,2,4
S8812056A,7,1,2,5,4
S7205364N,0,6,4,8,2
S9264147Y,4,8,1,0,3
S6777606J,7,6,5,0,3
S6645101W,0,1,5,4,2
S5575760K,8,0,5,6,7
S7045106A,1,8,0,4,7
S7651682N,0,8,1,4,7
S4624037K,2,8,3,5,0
S4271171D,5,4,2,1,8
S8521291F,7,8,6,3,0
S5429918L,7,1,4,5,3
