User,Item 1,Item 2,Item 3,Item 4,Item 5
S4181334U,0,4,3,2,1
S7372625N,1,6,4,0,5
S5071839X,7,8,6,0,3
S4860751B,0,1,5,2,6
S7483628P,0,8,4,5,7
S7718516S,3,1,4,0,5
S4014108S,4,0,5,7,8
S6458881O,3,4,7,6,8
S6442541J,0,4,3,1,6
S8330277U,8,0,4,5,1
S9104812P,1,7,0,6,4
S4602991J,5,8,2,3,0
S5758739A,4,8,0,3,1
S7127296X,8,1,5,7,6
S7468975V,0,4,8,3,6
S7214996P,1,6,0,4,7
S4377446H,4,2,0,8,5
S5397107X,1,7,4,3,6
S7659716Z,0,4,8,3,7
S6913262I,0,3,5,6,4
S5112438Y,8,5,0,2,1
S8564025F,0,4,8,5,3
S9469529F,1,6,2,5,4
S8728397O,0,4,8,7,6
S6948006Y,0,4,5,3,6
S6771387T,6,0,8,1,7
S6860944Q,1,7,0,5,4
S9541619V,0,2,3,7,4
S7812561Q,0,2,5,8,4
S8861716P,1,5,6,7,3
S5754572E,4,6,7,0,8
S6585164P,6,5,0,3,7
S6239344M,4,8,3,2,0
S5055067U,0,8,3,4,7
S7149337B,5,0,8,2,3
S6442643B,0,6,1,2,5
S6950592K,0,5,4,6,8
S7333569R,2,0,6,5,1
S4734773L,4,0,8,7,6
S4741703C,5,8,0,4,7
S8515911Y,4,6,0,8,7
S6718342J,0,5,8,4,7
S6530504M,5,8,6,4,7
S9769738T,5,0,4,3,6
S4819127T,4,0,6,8,5
S4950676A,4,0,8,6,5
S4071343C,5,0,6,4,1
S9137972R,3,4,0,1,6
S9183747V,0,3,4,8,5
S9780872T,5,0,1,6,2
S6730704B,0,3,5,4,6
S6485313Y,4,3,0,8,6
S9853972V,0,3,6,1,7
S4260340P,0,8,2,4,5
S6574552P,6,3,5,4,1
S7476675U,0,3,5,8,2
S7621519G,0,7,5,8,1
S9524469B,0,6,2,8,5
S4383209W,3,4,1,0,7
S6797586P,0,7,1,5,6
S6541281R,0,6,3,5,7
S8031384A,5,8,4,0,2
S9807924F,0,8,4,6,7
S7362074A,7,1,0,6,3
S9504868B,4,0,6,8,7
S9604747C,0,4,6,5,8
S8521291F,7,8,0,6,3
S9518099G,0,4,3,6,2
S9525795U,0,2,3,6,8
S6618836C,4,0,3,5,1
S6886604V,4,6,7,0,5
S4346953Y,4,8,3,0,6
S8931688U,6,8,5,0,7
S6885088B,4,0,1,6,5
S9226738A,0,4,5,8,2
S9893783U,0,8,6,4,7
S7214276U,0,5,8,6,2
S6974391K,0,1,5,6,2
S7067265C,4,0,8,6,3
S6566777D,2,0,3,4,5
S5198818I,0,4,8,6,3
S5648286C,0,7,4,2,1
S6374671H,4,0,8,3,5
S7236479K,1,6,0,5,4
S7422959Z,8,0,5,2,7
S6608360J,2,1,5,4,8
